engrpm,EGRkgph,MSPhum,EngTq,Count,Support,Kvalue,Confidence,First Occurrence Index
  ,4 4 4,5 5 5,2 2 2,146,0.005284589629897747,2.377326019145961,1.0,47167
  ,4 4 4,12 12 12,1 1 1,150,0.005429372907429192,2.377326019145961,1.0,41984
  ,4 4 4,2 2 2,2 2 2,286,0.010333906433806895,2.3731698547768243,1.0,53248
  ,4 4 4,2 2 2,1 1 1,215,0.007764003257623745,2.3717973539851562,1.0,17707
1 1 1,4 4 4,0 0 0,  ,185,0.006678128676137906,2.37090081368881,1.0,22016
4 5 6,  ,  ,10 10 10,168,0.006062799746629264,2.370250644088979,1.0,51200
  ,  ,  ,7 7 6,332,0.011980816215727084,2.3701653986063644,1.0,20485
  ,  ,  ,7 7 9,135,0.004868337706994842,2.368521107963939,1.0,27142
  ,  ,  ,6 7 7,524,0.018894217717853587,2.3682522557141064,1.0,40966
  ,  ,  ,8 8 7,129,0.004651162790697674,2.3681115772112866,1.0,36871
1 2 2,4 4 4,0 0 0,1 1 1,129,0.004651162790697674,2.3681115772112866,1.0,33794
  ,  ,0 0 0,7 7 6,124,0.004470183693783368,2.3677400271332756,1.0,20993
1 2 2,4 4 4,  ,2 2 2,114,0.004108225499954756,2.3668991506409345,1.0,53264
  ,  ,  ,8 8 8,195,0.0070219889602750885,2.365134603663161,1.0,2048
  ,  ,  ,7 8 8,290,0.010442493891955479,2.3650295052538266,0.996551724137931,32768
  ,  ,  ,7 8 7,188,0.006768618224595059,2.364680667980291,1.0,31232
  ,  ,  ,8 8 9,187,0.006732422405212198,2.3646130457815437,1.0,2049
  ,  ,  ,7 8 9,179,0.006442855850149308,2.3640448682010113,1.0,7168
  ,4 4 4,12 12 12,  ,163,0.005863722740023527,2.3627411969426113,1.0,41984
  ,  ,0 0 0,6 7 7,161,0.0057913311012578045,2.362560019027042,1.0,19969
  ,0 0 0,10 10 10,2 2 2,383,0.013772509275178717,2.3618082252873056,0.9973890339425587,43020
2 2 1,4 4 4,0 0 0,1 1 1,136,0.004886435616686273,2.3598456807698875,1.0,33798
  ,  ,  ,7 6 6,200,0.007184870147497964,2.3594960740023665,0.995,21001
1 2 2,4 4 4,0 0 0,  ,199,0.007148674328115103,2.359406476288077,1.0,33794
  ,  ,0 0 0,6 6 6,131,0.004705456519771966,2.3591784922822514,1.0,9738
  ,0 0 0,  ,2 2 2,391,0.014043977920550177,2.3590856660578843,0.9974424552429667,43020
1 1 2,  ,2 2 2,2 2 2,126,0.00452447742285766,2.358458352327342,1.0,53249
  ,  ,  ,8 9 10,186,0.006678128676137906,2.3581540351205903,1.0,37376
  ,  ,  ,7 9 9,184,0.006605737037372184,2.3579456439898796,1.0,54787
  ,  ,  ,9 9 9,363,0.01303049497783006,2.3576786966736805,0.9972451790633609,16393
3 4 5,  ,3 3 3,  ,120,0.004307302506560492,2.357514968986411,0.9916666666666667,54272
2 2 2,4 4 4,  ,2 2 2,115,0.004126323409646186,2.3566536189794745,0.991304347826087,53265
  ,  ,  ,7 7 7,799,0.028667088951226133,2.356498381931916,0.9974968710888611,20480
1 1 1,4 4 4,  ,2 2 2,113,0.004053931770880463,2.356287735790687,1.0,53248
2 2 1,4 4 4,  ,2 2 2,113,0.004053931770880463,2.356287735790687,0.9911504424778761,53268
  ,  ,10 10 10,2 2 2,394,0.014134467469007329,2.356207640803294,0.9949238578680203,43020
4 4 4,  ,  ,2 2 2,167,0.005990408107863542,2.355972791429081,1.0,34295
1 2 2,  ,2 2 2,  ,162,0.005809429010949235,2.3553137411909058,1.0,53255
  ,4 4 4,0 0 0,1 1 1,951,0.03409646185865532,2.354827665652466,0.9968454258675079,34193
  ,  ,5 5 5,7 7 7,156,0.005592254094652068,2.3544671151157113,0.9935897435897436,29191
  ,  ,  ,9 10 10,565,0.020251560944710884,2.3541839074551594,0.9946902654867257,2051
  ,  ,  ,10 9 10,153,0.0054836666365034835,2.3540189013111967,0.9934640522875817,37378
2 2 1,4 4 4,0 0 0,  ,203,0.007275359695955117,2.353904087922848,0.9950738916256158,33798
  ,4 4 4,4 4 4,1 1 1,506,0.0181341055108135,2.3538346553204077,0.9940711462450593,12288
  ,4 4 4,3 3 3,1 1 1,550,0.019708623653967968,2.353552758954501,0.9945454545454545,16465
  ,  ,  ,6 7 8,296,0.010605375079178355,2.3532314986816436,1.0,24577
  ,3 3 3,9 9 9,  ,243,0.008705094561578138,2.3528679325292328,0.9958847736625515,39424
  ,  ,  ,8 9 9,285,0.01020722106596688,2.3523015347338982,0.9964912280701754,7169
  ,  ,2 2 2,10 10 10,189,0.006768618224595059,2.3521691300544694,0.9947089947089947,51200
  ,  ,  ,10 10 10,925,0.03311917473531807,2.351625197317356,0.9956756756756757,51200
3 4 5,  ,  ,9 10 10,184,0.006587639127680753,2.3514855189378525,0.9945652173913043,39938
  ,3 3 3,9 9 9,1 1 1,184,0.006587639127680753,2.3514855189378525,0.9945652173913043,39424
  ,  ,  ,6 6 5,215,0.007691611618858022,2.349682693341938,0.9953488372093023,28160
  ,  ,  ,9 9 10,383,0.013700117636412995,2.3493939902003818,0.9921671018276762,32771
  ,  ,5 5 5,2 2 2,247,0.008831779929418151,2.348451614055119,0.9959514170040485,47222
  ,  ,  ,7 7 8,164,0.005863722740023527,2.348334238424669,0.9939024390243902,31234
  ,  ,3 3 3,10 10 10,204,0.007293457605646548,2.3481921218525055,0.9950980392156863,54272
2 1 2,4 4 4,0 0 0,  ,159,0.005682743643109221,2.347422547207018,0.9937106918238994,33804
1 2 2,4 4 4,  ,  ,626,0.02236901637860827,2.3469448559619868,0.9936102236421726,8192
  ,  ,  ,10 10 9,344,0.012288480680481405,2.346227277616435,0.9941860465116279,51201
2 2 1,4 4 4,  ,1 1 1,469,0.016740566464573343,2.3443780039552387,0.997867803837953,8196
2 2 1,4 4 4,  ,  ,639,0.022803366211202606,2.343842554087567,0.9968701095461658,8196
  ,4 4 4,2 2 2,  ,644,0.022966247398425482,2.3422567688635283,0.9937888198757764,53248
  ,  ,0 0 0,10 10 10,168,0.005990408107863542,2.3419491438610507,0.9940476190476191,23040
  ,4 4 4,  ,2 2 2,806,0.028739480589991855,2.341931587099123,0.9913151364764268,53248
  ,  ,  ,6 6 6,429,0.01529273368925889,2.3413059279467796,0.9976689976689976,18432
1 2 2,4 4 4,  ,1 1 1,454,0.016179531264138992,2.340671212683358,0.9911894273127754,8192
2 2 2,  ,2 2 2,2 2 2,129,0.004596869061623383,2.340468251407264,0.9922480620155039,53261
1 1 1,  ,2 2 2,2 2 2,125,0.004452085784091938,2.3392888028396253,0.992,53248
  ,  ,  ,7 6 5,153,0.005447470817120622,2.3384808227546867,0.9934640522875817,33285
  ,  ,  ,7 6 7,151,0.0053750791783549,2.33796631684222,0.9933774834437086,20994
  ,  ,  ,10 9 9,181,0.006442855850149308,2.3379228254584588,0.988950276243094,48640
2 1 2,4 4 4,  ,  ,496,0.017627364039453444,2.334189055088877,0.9919354838709677,8197
  ,  ,0 0 0,7 7 7,303,0.010768256266401231,2.334173236620209,0.9966996699669967,20480
  ,  ,  ,6 5 4,192,0.006822911953669351,2.333989346921946,0.9895833333333334,28161
1 1 1,4 4 4,  ,1 1 1,521,0.018514161614333544,2.3339774640943554,0.9923224568138196,12296
1 1 1,4 4 4,  ,  ,701,0.024902723735408562,2.3332386607309856,0.9942938659058488,53248
2 1 2,4 4 4,  ,1 1 1,371,0.013175278255361507,2.3324708112375467,0.9919137466307277,8197
1 1 1,  ,9 9 9,  ,132,0.0046873586100805355,2.3323009051469845,0.9924242424242424,39429
1 1 1,  ,9 9 9,1 1 1,131,0.004651162790697674,2.331957201986687,0.9923664122137404,39429
1 1 2,4 4 4,0 0 0,  ,155,0.005501764546194914,2.3313132574850712,0.9806451612903225,33793
  ,  ,  ,6 7 6,206,0.007311555515337979,2.331164348871282,0.9902912621359223,48645
  ,  ,  ,9 9 8,126,0.004470183693783368,2.330156852099414,0.9920634920634921,3074
2 2 2,4 4 4,0 0 0,1 1 1,175,0.006207583024160709,2.329779498763042,0.9885714285714285,33795
  ,  ,  ,6 6 7,274,0.009718577504298253,2.3296059713163886,0.9890510948905109,9218
2 1 1,  ,2 2 2,2 2 2,124,0.004397792055017645,2.3293960590825344,0.9919354838709677,53251
  ,  ,  ,9 10 9,147,0.0052121979911320246,2.32880916161237,0.9863945578231292,49664
2 2 2,  ,0 0 0,2 2 2,122,0.004325400416251923,2.328610322032314,0.9918032786885246,24083
